luminosity_distance_Mpc	dec	ra	theta_jn	psi	phase	spin1	spin2	geocent_time	ms	mr	mass_1_source	mass_2_source	lambda1	lambda2	H1	L1	V1	K1	network_matched_filter_snr
267.2252769416377	-1.1937008213469178	2.0711103338687353	2.5103110474869967	1.9987212329254236	5.190465356194528	0.00019184846957103258	0.0069274926808126315	1343735411.2762575	1.4173218776753131	1.33347935499938	1.4173218776753131	1.33347935499938	230.8265666079485	336.77642151301643	True	False	False	True	6.310334021616173
379.55131873123787	0.5606778533569647	4.405880031528718	1.099148074157507	0.3635746769733432	2.251064894735829	-0.016373784896820846	-0.01867077024350229	1326902054.3751872	1.2935640844897645	1.3172230152256628	1.3172230152256628	1.2935640844897645	360.10754906162236	401.8599792204929	False	True	True	False	3.318598893950659
451.2450691385921	-0.04893913830629927	0.31209511153255043	1.039244198536581	1.4221787023036199	0.33826477878040223	-0.0015335199601748239	-0.021456544603976634	1350452445.0488746	1.288061782190011	1.3319776689774367	1.3319776689774367	1.288061782190011	339.01038540512826	413.23574046966695	False	False	False	False	0.0
441.4804712511792	-0.8121957872900432	5.280217582220124	0.3507727001744769	2.3984526663721786	4.703724003634485	0.018185159093774807	-0.022024271892356208	1343203090.9154892	1.4018249106291318	1.387823663975925	1.4018249106291318	1.387823663975925	248.36657598710136	264.4557966410206	False	True	True	True	5.523188493066865
447.0535442890081	0.6776201055497437	5.64865218665334	2.1942422506147627	1.4424052487289367	5.189226013457634	-0.00167181154872106	-0.02065325188046142	1326150350.6598215	1.178477486334496	1.306050676440861	1.306050676440861	1.178477486334496	379.12204004659037	699.3396004508849	False	False	True	False	0.3876297084702566
478.99546833134053	0.041699043066575056	0.5329612763086551	1.8623007253844919	2.132283505152207	4.103290852874991	0.004879412999093593	-0.0002463241989996008	1333246760.2400413	1.1762680446971854	1.3433386528237012	1.3433386528237012	1.1762680446971854	320.92972087943923	707.454372396351	True	True	False	True	1.2512208626650156
343.4934256409743	-0.7491484608894358	2.266140861044713	0.4594929288869019	0.8722117983209339	5.318795598965067	0.0228812608564918	0.02010786125833162	1349148361.8370178	1.2891798681204818	1.3681348329525826	1.3681348329525826	1.2891798681204818	287.5701853562502	410.9657863364445	True	True	True	False	11.950106969408282
171.00308548854662	0.3649340919820049	1.995897014904124	2.256451411152047	1.8066833680093377	5.358900567859253	0.03910936444580121	0.017687786422270292	1346719581.3938448	1.3000374913062982	1.4272907918791127	1.4272907918791127	1.3000374913062982	219.79795179159416	389.23299841915446	False	False	True	False	1.7168200592961336
134.19015405873307	0.834662155690889	0.4863956145537618	1.0961979109715783	2.216298331444628	1.140910645318875	0.017574295267219438	0.011893892114907973	1331004670.8587437	1.2205569999983963	1.3121973175790043	1.3121973175790043	1.2205569999983963	368.7924472498825	572.4721325937853	True	False	False	False	7.824579415697437
372.0936004743889	0.07869930397819778	2.013079921130375	1.3836106513104995	2.908052625143197	2.615693878063997	-0.016399629332739377	-0.027503769720986906	1344981013.3840103	1.4093766746348688	1.5013626532137399	1.5013626532137399	1.4093766746348688	157.49801114589812	241.47526495834003	True	False	True	True	4.682297068330716
100.28942703308225	0.7418806429324183	6.076850589904221	1.9041781099012869	0.4755610035310893	2.76238533911217	-0.021823329260590656	0.03962658286761828	1348723054.7094257	1.3109693087423886	1.3681566001871313	1.3681566001871313	1.3109693087423886	287.54024089818756	370.9206394653078	True	False	True	True	11.729987943777315
186.38485379775943	-0.5635317209639633	4.297400186042617	1.7400055426424696	2.084408292972626	0.48530092079588755	-0.0020047223144184887	-0.008188258535196152	1348257430.4545777	1.1615555144333003	1.3383396132546959	1.3383396132546959	1.1615555144333003	329.02358799687505	766.387144978064	False	True	False	True	4.363446619025385
210.86171809205854	-0.20361657714059972	4.502707477663359	2.7330845492779527	2.1518332168285625	3.9304545141983644	0.01373828146521996	-0.0013460340009534245	1333674745.7274325	1.2647344101313194	1.3167987880190732	1.3167987880190732	1.2647344101313194	360.8231353641522	463.3188974919579	True	False	True	True	13.202891211981598
223.77857703692044	-0.6542697860706256	2.744702498574003	0.9804012693046292	0.8207947064367935	2.7824727087640717	-0.0028038094550646123	-0.0017677423305526541	1329314452.2583117	1.2067762602246819	1.373736332519085	1.373736332519085	1.2067762602246819	279.95591352359173	610.2195027084653	False	True	True	False	7.999964490336591
148.6795736273486	-0.1428606492387238	6.134403776237393	2.343116649723196	2.4491544567888126	3.1121141070540204	-0.006994649037936669	0.007641609207669917	1333764371.2096677	1.3043393555648086	1.3089017457894203	1.3089017457894203	1.3043393555648086	374.4290816016343	381.92352486212576	True	True	False	False	13.23096293697395
294.40056136038163	0.3263683412908887	5.931476608067138	1.8450138324794332	2.347324435825056	4.115153185753816	0.006336548509856862	-0.006222588528632458	1349865720.7292707	1.200234530818983	1.3703037661348296	1.3703037661348296	1.200234530818983	284.58028392475404	632.2666528351358	True	True	True	True	3.23818316222649
478.67352059354226	-0.847319479158032	3.6058704416400276	1.6894483331266732	2.8796251698771136	3.9966838298726644	0.0015600762823286005	0.0007311428352624452	1326086731.3828	1.301872910785366	1.3300816046831323	1.3300816046831323	1.301872910785366	341.68011631836004	386.0406370094347	False	True	False	False	1.1719920911469401
476.9897428939903	0.2133006727349954	6.1922668686642695	2.4471016339893517	2.3247838229173357	5.283019996426071	-0.019942672050663194	0.0290509202420457	1356279284.184402	1.230095899978826	1.523628838920444	1.523628838920444	1.230095899978826	142.71053863632054	542.5411573380753	False	True	False	False	2.5707135134284544
452.82326030926583	-0.15764299105697074	1.9441642400988137	0.6708895982843549	1.7991296591401569	5.603456615384885	-0.020838773708341952	0.00031971599354843134	1351004497.5567594	1.2562043394265778	1.3471590583825652	1.3471590583825652	1.2562043394265778	315.1475660973736	482.57118025686896	True	False	False	True	3.1619134619190086
321.4925909670407	-0.4067800615193556	6.259144187079081	1.9486410597818398	1.4235394275271551	4.808354870286884	0.0013243735159363937	0.0021334661202711013	1336739653.4737263	1.3180840001887661	1.3529117680167269	1.3529117680167269	1.3180840001887661	307.16788606879265	358.67406702209934	True	False	True	False	2.5996833264496493
273.98275167881604	-0.5913985133024318	3.5655365970894914	2.3373281248917848	1.5645529177261075	5.054355855917431	-0.013301182096816036	-0.018565480759991045	1327757837.8420718	1.294741030222692	1.391864733324568	1.391864733324568	1.294741030222692	259.5448264637352	399.43553015574867	True	False	False	True	2.809088283921419
483.2444859476084	0.4968134169207624	3.9561472430748235	0.8552739941550925	2.5809418025571755	1.7937705050735913	-0.0053533600945086844	-0.00036417335174149376	1334511530.9536996	1.270757057919598	1.3395530768683852	1.3395530768683852	1.270757057919598	327.0354935836255	448.66579857614346	False	False	False	False	0.0
221.29599478720382	0.3563418504336513	0.7542965961407324	3.0058964784422155	0.43273510502109797	3.280341487801277	0.030381152423063395	-0.029917137147448602	1332079663.6269891	1.2206584649108254	1.3252814040868761	1.3252814040868761	1.2206584649108254	348.07643415325043	572.1578101598586	False	True	True	True	10.23473016249729
377.43940681118534	-0.4767287566941194	3.1963641961968614	1.3973134840367307	2.5499022074514284	0.7850449372468224	-0.03473862196461371	-0.003701905651660262	1346518811.4924371	1.2298869583463599	1.3583848573412072	1.3583848573412072	1.2298869583463599	300.18607881827324	543.1218844834401	False	True	True	True	3.609561914172358
115.76661933630649	0.3331916110966901	3.449989873437874	0.07005765840332269	2.880365738395392	5.1433464620750815	-0.007272524010328222	-0.00047002135467501857	1343698763.8030894	1.411635166645492	1.3278829421649994	1.411635166645492	1.3278829421649994	238.78494043254963	344.63565441140514	True	False	True	False	24.266772212975297
326.70959186893907	-0.1483536363147247	0.8901300446317745	1.816377169371103	2.620977372675001	3.105812947502487	-0.00986840395870176	0.004564412195541032	1346755991.200286	1.3376675469897534	1.2413039300617916	1.3376675469897534	1.2413039300617916	330.12237332856637	517.7855605963083	True	False	True	True	4.885054358429926
498.0244100959499	0.25764628873765383	3.839473719424072	0.46809160204286915	1.3509152176348522	2.021246441656716	-0.0033007321799687047	0.0033362204587195376	1336578729.9948826	1.195719253609124	1.3339107611546672	1.3339107611546672	1.195719253609124	336.1156883154174	647.2861575398986	True	True	True	True	6.857146608527634
387.4641385540751	-1.0936119728581999	5.111524290871673	1.8761832281020858	3.1000265427168077	0.3546924009973862	0.004308735795402675	-0.004912073280371009	1350987932.4758794	1.2661996504636583	1.3421739614000663	1.3421739614000663	1.2661996504636583	322.77869163647455	459.8063380633714	False	False	True	False	2.837052730940151
385.7995158358349	-0.3438361995358961	2.6337862473673925	0.9556316563786573	0.30606176324465734	2.4044972262682354	0.01610455012480431	0.0029322697753864408	1338131822.5447137	1.2220104014696604	1.3179603202119603	1.3179603202119603	1.2220104014696604	358.87829291774125	567.8856141909905	False	False	False	False	0.0
241.77005336843604	0.780090839819961	1.895839794166938	1.1955455997867597	0.8659581717210868	0.5239435732332948	-0.005849159785367841	0.0033693916276976528	1340647038.064994	1.17583757390276	1.6457199222939092	1.6457199222939092	1.17583757390276	82.07706513501344	709.0999072728445	False	False	False	False	0.0
390.4477478488615	0.41424170821721823	4.562204906497455	0.3118936670916401	0.013500819765210984	0.41383902414509094	0.0002600778107297348	0.008277788304882098	1349708250.9616952	1.3743597237039178	1.322546286519789	1.3743597237039178	1.322546286519789	279.1492757724017	351.81658451190214	True	True	False	False	6.513916925389908
496.03228363377485	-0.6791201543560151	1.5893234776708145	2.4431061926084077	0.7227806650466784	0.1227004469253761	-0.01160635223631792	0.012793285766730628	1328220956.64752	1.244055845177971	1.5473018706009698	1.5473018706009698	1.244055845177971	128.03753366501857	511.63337181487486	True	True	True	False	4.24594518535955
432.5511776713679	-0.1943067210474702	2.9471091042083213	2.1924320045459402	1.4572315561557156	1.862715755933519	-0.002189456797227306	0.01131459861092355	1330984043.2099342	1.3237612709502204	1.4846072309284375	1.4846072309284375	1.3237612709502204	169.11410048453325	350.126256989895	True	True	True	False	4.621771866330461
428.5864951001589	-0.17513608676874093	3.0246381463496568	1.7246740989327685	1.3648313967728274	2.5180940611675497	0.005362208625035639	0.02549163088428679	1335528276.7958918	1.3193685662133807	1.3469225371045963	1.3469225371045963	1.3193685662133807	315.49336681792073	356.5916482534925	False	True	False	True	2.5218236987067097
373.68313411322765	0.44087622352266914	4.286851041826442	1.858124944796673	2.672909938374584	5.068293097226349	0.03158681419135499	-0.0042087835399237045	1352407028.820647	1.223318102389058	1.3319683498154298	1.3319683498154298	1.223318102389058	339.0238967834097	563.6514016728539	True	False	True	False	3.505953213094087
259.0525077111536	-0.6304055467621626	3.1819647235936657	0.30410171778164724	2.0581732511083013	4.9395410065194145	-0.04000061172802364	-0.0008390445113784272	1335472605.3637457	1.2745787747304103	1.364724421791769	1.364724421791769	1.2745787747304103	292.16521115899985	439.69199371835265	False	True	False	True	6.801557438189118
463.0134357400234	-1.268621701074557	1.4211722637476427	0.5933885647489623	1.5727368407755087	0.45945020446492396	-0.012395481701667092	-0.01339512099538145	1356188506.426572	1.1704428095542292	1.3303462088233489	1.3303462088233489	1.1704428095542292	341.3159928371011	731.4533458278962	False	True	False	False	4.2602999411701346
113.0288025620118	-0.10740038538920535	0.9597557743910018	2.2279852254314196	2.1154384092003213	5.001099615470124	-0.007924800715121076	0.0014957973530775614	1331229928.8586805	1.2654871947406297	1.331198560025929	1.331198560025929	1.2654871947406297	340.12561996302594	461.52424131953023	False	True	False	False	6.861408722443158
449.4182476943399	0.6591918332392084	4.140403093492579	2.0834610589414058	2.2505118354773512	1.4656464130104023	-0.022212032432837366	0.014786694509426422	1325620618.9480984	1.364518986764338	1.3654928716402255	1.3654928716402255	1.364518986764338	291.15215319674223	292.43376014090586	False	False	False	True	0.5540226337452671
456.8348360379064	-0.14730860549077862	3.069046155908695	0.5932744723728071	0.8408508768452646	4.055361408799144	0.01291309044449256	-0.006397098851782506	1339833150.2531364	1.3809860733867831	1.329479279159258	1.3809860733867831	1.329479279159258	271.6110086211841	342.5008617125783	True	False	True	True	2.859657538258029
