luminosity_distance_Mpc dec ra theta_jn psi phase spin1 spin2 geocent_time ms mr mass_1_source mass_2_source lambda1 lambda2 H1 L1 V1 K1 network_matched_filter_snr m1 m2 mchirp eta q chi_eff r1 r2 c1 c2 mb1 mb2 mej_dyn mej_wind
451.45757044817515 -0.14972034446952828 0.5805518837172342 0.41059920918779963 2.619651247548826 6.231114649255928 0.004217088986433528 -0.03433406347628271 1338549766.3581269 1.397386510834265 1.356777895036766 1.397386510834265 1.356777895036766 252.78700721505064 302.19702084995106 False False True False 0.8921323143668697 1.397386510834265 1.356777895036766 1.1986633076713553 0.24994565036165828 1.0299301867653132 0.0 11438.152239505083 11444.837865477766 0.18039766381496922 0.17505291609366988 1.5670503216565088 1.5157950921569079 0.002802114356617447 0.01203348190927455
455.26789011591063 0.6679206438470837 3.303639642111006 1.654431504023349 0.45316936957045284 1.973511631274369 0.01759665148886576 -0.005959000572375682 1343033344.5302553 1.255451344629816 1.3360577973190624 1.3360577973190624 1.255451344629816 332.7314533594657 484.27109454362227 True True False True 2.9167136509558413 1.3360577973190624 1.255451344629816 1.1273649547644682 0.24975813438179761 1.06420515859419 0.0 11447.926010875386 11456.064829358005 0.17233308680823337 0.16182091725806333 1.4898458253174027 1.389660094976306 0.002499557078026695 0.02321708254747737
426.9384364437264 1.02556018324381 1.2219421760314155 1.9872922384244387 1.070417020002328 1.4135488959249454 0.013645323038346513 0.0038038624519843396 1329232768.599173 1.2678235835315865 1.3448701484211347 1.3448701484211347 1.2678235835315865 318.56004518699814 455.84431011108524 True False False False 0.47478496951503557 1.3448701484211347 1.2678235835315865 1.136647516231948 0.24978259498248848 1.0607707301633647 0.0 11446.654088553345 11455.037326781036 0.1734890344488969 0.16343029040208878 1.5008698070108328 1.404910430708368 0.0025372675703148303 0.022720572663189265
431.12739891103666 -1.0148051553321205 5.143925668450099 2.256408310096182 0.9529093252155271 5.769686589609723 -0.0065026864405331114 -0.02320115471464098 1327301725.2888281 1.3428656500650051 1.3280015475554545 1.3428656500650051 1.3280015475554545 321.67617748918286 344.4784589311301 True True False False 5.939593749179651 1.3428656500650051 1.3280015475554545 1.1625408672477515 0.24999225693680927 1.0111928352319408 0.0 11446.949309944654 11449.024582611566 0.1732259853079597 0.1712775051319909 1.4983607858611852 1.4797805740794139 0.002598782608791924 0.020695120048523308
121.17696651996262 1.375982368136888 1.079574171449568 1.210080313260418 2.9195765178382898 2.482758382808842 0.002255252546719493 0.004769008649597603 1336220690.2990217 1.1917187459102403 1.34591354544788 1.34591354544788 1.1917187459102403 316.98594599746843 659.1184893890745 False True True False 11.246439559128117 1.34591354544788 1.1917187459102403 1.1021198451103906 0.2490769566922339 1.1293885827229018 0.0 11446.499125899532 11460.462439388564 0.1736259837905804 0.1535471867442955 1.5021761863550658 1.3116971840645077 0.00258318598605267 0.02446621548418367
478.0581421483536 -0.1846363175016837 4.176187237550058 2.4105234157002773 0.3025496819320338 1.6323829237959997 0.005785614875762544 0.004521495733067838 1341937183.2523766 1.2012462645516704 1.3492876444503772 1.3492876444503772 1.2012462645516704 312.1019400326332 628.7563084320643 True False True False 4.1590239392743875 1.3492876444503772 1.2012462645516704 1.1079387087412937 0.2491577441150802 1.1232398253941367 0.0 11445.992216203596 11459.93798885065 0.17406895909107206 0.1547818444464039 1.5064024916109897 1.3233143057022372 0.002587915621078008 0.024263998464671636
482.49770027394703 0.7005339086918518 3.891728539607568 0.8839158684183674 0.6915340685524055 2.3323899854108694 -0.020710529685860207 0.00705395962480925 1340639304.0738144 1.1681533420769565 1.351254667272925 1.351254667272925 1.1681533420769565 309.38712693526935 741.3384352857881 False True True True 3.7405220824135172 1.351254667272925 1.1681533420769565 1.0931569911001995 0.24867953780332064 1.1567442548855937 0.0 11445.692793280094 11461.519014773781 0.1743272811940807 0.15049702384570685 1.508867642285352 1.2830035388953562 0.0026624848912533195 0.024938697396509505
458.00594539531716 0.2709865017532927 2.038557744375609 2.6100942502511297 2.9783791358062057 5.452919933035066 -0.00795352157138806 0.006862923262289997 1329346678.3271015 1.316235805781325 1.376744104982058 1.376744104982058 1.316235805781325 276.21235125479717 361.78084907072343 False False True True 3.700300441250362 1.376744104982058 1.316235805781325 1.1718324848619155 0.24987378712116703 1.0459707135567664 0.0 11441.610490607742 11450.50084924056 0.17767908199867735 0.1697381453549041 1.5409166383577975 1.4650975237933042 0.002685098453971351 0.018661680377338324
480.87421525521233 1.4225762506558481 4.998229030646395 2.4995816031755633 0.2667068215748702 1.7362467759058924 -0.002294801683959747 0.029771714940890707 1349045426.2985156 1.2903727982900834 1.489078507639153 1.489078507639153 1.2903727982900834 165.50935623588907 408.50498938111986 True False True True 3.219042279233329 1.489078507639153 1.2903727982900834 1.2061126232329338 0.24872225979514342 1.1539909316225367 0.0 11417.277726810396 11453.104299007746 0.19258624475917704 0.16636509742385389 1.6844488146060466 1.432859890496081 0.0033408680252981666 0.006614910161586157
484.03159243656773 -0.37681163438902743 4.7032646949942345 0.8792074000621589 0.33266792655781113 4.8058633782920674 0.006070725931331867 0.017547489862959308 1325128655.423722 1.3913632775821023 1.6221546064101886 1.6221546064101886 1.3913632775821023 91.43701367875258 260.1759961053371 True False True True 2.045762990818501 1.6221546064101886 1.3913632775821023 1.3070882599942724 0.2485336709530147 1.1658742418652541 0.0 11369.80605655213 11439.165913767607 0.21067326332430455 0.17960416875526966 1.8592629632433113 1.5594054029952729 0.004239532820522275 0.00015
