luminosity_distance_Mpc	dec	ra	theta_jn	psi	phase	spin1	spin2	geocent_time	ms	mr	mass_1_source	mass_2_source	lambda1	lambda2	H1	L1	V1	K1	network_matched_filter_snr
439.3915719734159	0.11886028544891307	0.8310856209931061	1.9679212022190309	1.3093107923404865	4.345598381636712	-0.00043204836711905275	0.02933516539678844	1326742744.737171	1.308147055881361	1.310636759399424	1.310636759399424	1.308147055881361	371.49245814109673	375.6825503110899	False	False	False	False	0.0
463.12696151912127	-0.5512768685698145	1.8882282768363363	0.501757703024307	1.2712698261698139	2.7188953440427306	-0.0016731370441636874	-0.0016693553938571066	1354763098.78992	1.2721610588657477	1.350019752429762	1.350019752429762	1.2721610588657477	311.0808166396387	445.2914085671573	True	False	True	False	5.017269134553334
458.00594539531716	0.2709865017532927	2.038557744375609	2.6100942502511297	2.9783791358062057	5.452919933035066	-0.00795352157138806	0.006862923262289997	1329346678.3271015	1.316235805781325	1.376744104982058	1.376744104982058	1.316235805781325	276.21235125479717	361.78084907072343	False	False	True	True	3.700300441250362
478.0581421483536	-0.1846363175016837	4.176187237550058	2.4105234157002773	0.3025496819320338	1.6323829237959997	0.005785614875762544	0.004521495733067838	1341937183.2523766	1.2012462645516704	1.3492876444503772	1.3492876444503772	1.2012462645516704	312.1019400326332	628.7563084320643	True	False	True	False	4.1590239392743875
436.1680123295023	0.8918593235137562	3.027855339001184	0.521065350806897	0.3059468147323054	4.5639019904252525	0.010844808534911	0.011272011873736514	1331356414.5827055	1.3229944526098814	1.358811848793428	1.358811848793428	1.3229944526098814	299.65369791425223	351.18629930361305	True	True	True	False	9.276378782528402
121.17696651996262	1.375982368136888	1.079574171449568	1.210080313260418	2.9195765178382898	2.482758382808842	0.002255252546719493	0.004769008649597603	1336220690.2990217	1.1917187459102403	1.34591354544788	1.34591354544788	1.1917187459102403	316.98594599746843	659.1184893890745	False	True	True	False	11.246439559128117
439.56553992872523	0.21282013067692981	1.4531344155672041	1.5018157304235538	2.993459081157371	2.8293910377224756	0.0024331039453867713	-0.002295663642597774	1353134876.4204211	1.2421570949596539	1.6009915785257132	1.6009915785257132	1.2421570949596539	100.1778513199561	515.9390720816049	True	True	False	False	5.733893234566743
186.01226520719263	0.8450545797656643	3.054185930211736	0.9780423452397992	0.6279254614144105	6.0229755667986	-0.01194621387453189	-0.004151939521369375	1346663203.5540028	1.4194701887011378	1.351567170778376	1.4194701887011378	1.351567170778376	227.8850810245274	308.96404288001924	False	False	False	True	2.134750387742108
467.5100238099769	-1.420411836305791	5.951177534731281	0.28085477118224533	0.5196201928091854	4.9316310566140364	-0.005073747122372279	0.03004528277891871	1342856254.605725	1.2241160311205055	1.3348165147458984	1.3348165147458984	1.2241160311205055	334.705499001404	561.0466723955653	True	True	True	False	6.418427336733684
161.56994316802465	0.24827064872057875	3.2017992845142205	1.3496837271327156	1.3818670673308753	4.962586316120744	-0.0016471792323830671	0.000218565349805044	1350843840.8581045	1.4177007232246845	1.3262409894501173	1.4177007232246845	1.3262409894501173	230.2933871469937	346.8041719878456	False	True	False	False	6.091669368391267
449.77331143292827	-1.048346225945888	2.138380969584941	2.335416114994896	0.3181045039844715	3.77580013160458	0.0343033938077141	-0.009615947682253049	1342362508.4217906	1.3690283590942638	1.3198349412794037	1.3690283590942638	1.3198349412794037	286.3387065249292	355.855082988555	True	False	False	False	4.230713620157316
429.22023260241883	-1.055749355017875	2.3027508392916665	2.2919624176021527	0.5625035922812603	4.338399766302595	0.009238433453202927	0.004723512844085437	1354034781.4975245	1.163193066706853	1.3214451007771773	1.3214451007771773	1.163193066706853	353.40609030218997	760.9939195428959	True	False	True	False	4.584895390900493
451.45757044817515	-0.14972034446952828	0.5805518837172342	0.41059920918779963	2.619651247548826	6.231114649255928	0.004217088986433528	-0.03433406347628271	1338549766.3581269	1.397386510834265	1.356777895036766	1.397386510834265	1.356777895036766	252.78700721505064	302.19702084995106	False	False	True	False	0.8921323143668697
417.2741640005543	-0.06947939766069681	3.569356554014873	0.69364835693763	2.639595902190844	2.3411889749014643	-0.025712020924640564	-0.02343721862795588	1325258963.6703453	1.2259279878473348	1.35734898653158	1.35734898653158	1.2259279878473348	301.4804302614404	555.1599891619755	False	False	True	False	2.8580895119328398
333.9677653673002	-0.30275132252506465	3.6701473588881104	1.8286972234425327	2.130240216550408	2.9032735521799427	0.007795630548235905	0.0273205092527041	1330914898.3872302	1.3148014040371603	1.3279678052897554	1.3279678052897554	1.3148014040371603	344.5231956960097	364.2531552074847	False	True	True	True	2.444204988218936
488.02065624862166	0.7721168471525585	2.253907213056654	2.5505953030947963	2.046792124960904	1.2187769274976659	0.0005195979599951484	0.0014500728681443482	1338099038.0044692	1.2507739115613776	1.5426174850903802	1.5426174850903802	1.2507739115613776	130.0793306177336	495.30527284329264	True	True	False	True	4.748050290029209
483.5757235965002	0.9396355314927551	1.5738161531535795	2.273923360670758	1.8686651378036003	1.3812133262201476	-0.001562746718087692	0.007596335063676416	1353683349.912784	1.1839185031694166	1.6236761076838229	1.6236761076838229	1.1839185031694166	90.97372423739272	681.4407265206224	False	False	False	True	0.7380618848259375
262.7296955907281	0.7951734269766411	1.5371931858909704	0.7726373309834539	2.79272157938144	5.177550470493773	0.007562035221710822	0.0021206219099841757	1341855409.0353332	1.2310132738641806	1.3680586270492532	1.3680586270492532	1.2310132738641806	287.6749881733032	540.0784973304881	True	False	True	False	8.64557761233
