theta_jn psi phase spin1 spin2 geocent_time ms mr ra dec luminosity_distance_Mpc mass_1_source mass_2_source lambda1 lambda2 H1 L1 V1 K1 m1 m2 mchirp eta q chi_eff r1 r2 c1 c2 mb1 mb2 mej_dyn mej_wind
2.4677917573101413 1.803318198349273 3.1179273063207606 -0.006456720851425589 0.017644212844006364 1356149197.7064793 1.4000644648541514 1.3350846635636846 5.759752180780595 0.4380163986471242 337.754044107 1.4000644648541514 1.3350846635636846 264.30150330435043 354.4016474779312 True True False True 1.4000644648541514 1.3350846635636846 1.1901395891044078 0.24985889748785603 1.0486709218253012 0.0 11437.70179930131 11448.062148353216 0.1807504962677045 0.17220551808401185 1.5704548500407194 1.4886294206949426 0.002787046040447714 0.014156034158314075
2.0908640068709814 1.4431604571541632 0.9033820148350167 -0.035891169150721415 -0.002167164433518897 1335192580.7300212 1.4058934233177436 1.7525760046611396 3.0587737364928276 0.09172712410518817 140.89788112446288 1.7525760046611396 1.4058934233177436 54.468555331544536 256.61496441249625 False True True True 1.7525760046611396 1.4058934233177436 1.3648415046149966 0.2469880296193194 1.246592362972483 0.0 11295.360676474042 11436.723803121742 0.22911155514397508 0.1815185448448359 2.0361361437677163 1.5778777269524493 0.006132574733272067 0.00015
1.3912823356737194 0.7552560578386082 1.277354021918724 -0.015067301560906831 0.010541013817267747 1328041606.7111306 1.2641021111299606 1.3674263933167679 2.6918387586433745 -0.18863640728602354 258.410139713 1.3674263933167679 1.2641021111299606 306.68925409438356 500.482573714286 False True False False 1.3674263933167679 1.2641021111299606 1.1443794571573918 0.24961458497148395 1.0817372910598553 0.0 11443.138994486217 11455.349783846199 0.17645298925151864 0.1629461249713408 1.5291763502714104 1.4003175556110639 0.0026294793496155545 0.022142098963432187
2.1525002644447477 2.5546469905134455 3.964490320411529 -0.007526362959307752 0.018221647356335337 1325386323.5935583 1.166543015066599 1.3280246051072007 2.4744230937224407 0.08228110412431988 269.486962239 1.3280246051072007 1.166543015066599 366.0211708691184 794.7997526548428 True True False True 1.3280246051072007 1.166543015066599 1.0830913098669042 0.24895240002079794 1.1384274629867657 0.0 11449.02153433008 11461.583595922557 0.17128052455690043 0.15028871332113958 1.4798093664924927 1.28104960865544 0.002523834893958332 0.024868508559565006
1.9843656819590896 0.27596997025150793 3.271700960611963 -0.014317087129478455 0.024085011488047203 1334776962.217157 1.2310760118583144 1.1637527849600486 1.674627418437025 -0.6219320800966446 134.98157261732595 1.2310760118583144 1.1637527849600486 576.4465474564661 804.8573099442201 True False False True 1.2310760118583144 1.1637527849600486 1.0419154236198136 0.2498024300392572 1.0578501102367517 0.0 11457.962416008862 11461.694029325017 0.15865278882955872 0.1499277962886488 1.359750756713878 1.2776665218128274 0.0021097503579713397 0.02433838852539501
1.0524971908825524 2.55373645949449 3.4451226431401585 -0.02887534574926661 -0.01833972638611489 1332948785.0274067 1.2913299814521924 1.3525102764873103 3.5100178414958263 0.24889704130378135 109.89997108531814 1.3525102764873103 1.2913299814521924 326.05885048846125 430.4718701313025 True False True False 1.3525102764873103 1.2913299814521924 1.1504285275587052 0.24986612708499858 1.0473777391633983 0.0 11445.500229967945 11453.021404077497 0.17449220479147962 0.166489710084419 1.5104417476631156 1.434051330791484 0.0025790221544497493 0.021675128782683028
0.6061324130808425 0.3174236459438073 1.131148689681708 0.0026832756464903653 0.015711777110042104 1335104797.0229936 1.2931226396004336 1.3414212871312639 3.9658330147706202 1.007467521876022 372.244912877 1.3414212871312639 1.2931226396004336 343.3460945750501 428.73399042980986 False True True True 1.3414212871312639 1.2931226396004336 1.1465205852355724 0.2499159768304999 1.0373503997623568 0.0 11447.1599514608 11452.866106834163 0.1730364823134086 0.16672309614833616 1.4965534361293187 1.4362839107689387 0.002544034026178204 0.022091198774011018
0.5602128884047848 1.6744429851130378 2.198206275316069 -0.003431980266065476 -0.023509024260961377 1347500673.0777786 1.171189973022847 1.3304881301536036 5.651657133420502 0.24253400718332302 361.360265333 1.3304881301536036 1.171189973022847 362.06857217808715 775.819678808592 True True True False 1.3304881301536036 1.171189973022847 1.08626734601253 0.24898632518286043 1.1360139352282936 0.0 11448.69258504244 11461.39546497931 0.17160318545481662 0.1508898694854076 1.4828860882189288 1.286691068039563 0.002529722383857801 0.02480353813398111
1.8211960986463398 2.141187903701993 1.5996300164657387 0.023552726912193834 0.0003834205945646793 1355893653.410413 1.238947676873021 1.3233810476625927 2.503555187118934 -0.45822696231936816 363.926942437 1.3233810476625927 1.238947676873021 373.4385642848323 555.7972334334199 False False True False 1.3233810476625927 1.238947676873021 1.1145915771649795 0.2497285445447786 1.0681492627700573 0.0 11449.62358759314 11457.372107539919 0.17067265188386074 0.15967546242439243 1.4740123904036426 1.3693925822293724 0.002447249569865659 0.023687942427981036
2.0522121021841526 2.8995142914761236 5.955726997860377 0.003246406657713978 -0.005472846232878268 1325520302.4989855 1.2187659503830535 1.7332828005802627 1.1781103350655624 -0.01624077350352713 68.49009106543595 1.7332828005802627 1.2187659503830535 59.546681636930415 612.855346531754 False False True False 1.7332828005802627 1.2187659503830535 1.2613892891877796 0.24240562282319578 1.4221621469122094 0.0 11308.716274546105 11458.83258335306 0.22632178221671578 0.1570544235838429 2.009613956786173 1.3446980772094124 0.010205930809720225 0.00015
