,event,distance,ra,dec,is_localized,mag_threshold,airmass,pointings_to_detection,hours_to_detection,area90
0,10.0,100.28942703308223,348.17789153309644,42.5066297424796,0.0,,,,,35.886360314380596
0,6.0,343.4934256409743,129.84030712000435,-42.923045037686094,0.0,,,,,184.05447360216758
0,8.0,134.19015405873307,27.86841588760251,47.82261884037917,0.0,,,,,17015.839363011197
0,86.0,126.84621080953005,357.6013757396963,-1.0086737561548882,0.0,,,,,15851.94890051461
0,22.0,221.29599478720382,43.21801145994791,20.416884093730246,0.0,,,,,81.18198922937074
0,171.0,269.08517617009744,350.9885293466172,-8.244782864521877,0.0,,,,,31.97184229726289
0,14.0,148.6795736273486,351.47544620751717,-8.18531225987771,0.0,,,,,385.0390737038292
0,180.0,162.96513250175389,255.7365652392762,47.61818433302595,1.0,22.90954,1.27441,7.0,45.88270574918818,16.14001021630693
0,60.0,338.1538562978532,299.5173729426362,9.212227417954136,0.0,,,,,1225.5785454196064
0,24.0,115.76661933630648,197.6698591108632,19.09047308500463,0.0,,,,,66.10748852358581
0,107.0,417.03606014880205,19.66028482927023,25.118505696998906,0.0,,,,,177.37946633009753
0,191.0,205.4005932952305,71.50741539718905,82.90961229089666,0.0,,,,,981.3965505159823
0,0.0,267.2252769416377,118.66588103660942,-68.39401906447827,0.0,,,,,1342.5026413680866
0,181.0,216.8265690149866,150.18981296631182,-0.5002496878613357,0.0,,,,,54.99012621533946
0,12.0,210.86171809205854,257.98613485210683,-11.666370509056316,0.0,,,,,117.304400881467
0,188.0,264.14160231900587,145.4237275121413,63.5975966431269,0.0,,,,,1181.4631731931945
